VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
75.037014,1.8505494,11.992109,10.900176,8.143602524,0.941353737,0.169772433
75.040141,1.8644972,11.992433,10.981972,8.211569364,0.941309097,0.169777996
75.037768,1.891636,11.992325,11.146212,8.275146486,0.941701388,0.169711109
75.037768,1.9055624,11.992325,11.228872,8.328866873,0.941751756,0.169702032
75.035504,1.9324418,11.992109,11.392678,8.379508036,0.942210985,0.169621383
75.034317,1.9461734,11.992325,11.475122,8.416399394,0.942365189,0.169599365
75.036906,1.9735068,11.992648,11.640228,8.488687198,0.942677254,0.169541937
75.032808,1.9872168,11.992433,11.722238,8.528302784,0.942803934,0.169525376
75.031621,2.0146584,11.992541,11.886694,8.611420364,0.943032253,0.169488539
75.029357,2.0283684,11.992001,11.969138,8.653261946,0.943140663,0.16946654
75.026984,2.0558534,11.992433,12.134676,8.720191241,0.943465133,0.169419719
75.027739,2.0696282,11.992001,12.21712,8.77180916,0.943509557,0.169403935
75.030004,2.0965508,11.992433,12.38136,8.821584661,0.943920227,0.16933122
75.026121,2.1101316,11.992325,12.463804,8.845000443,0.944130366,0.169300769
75.022347,2.137768,11.992001,12.628696,8.937037641,0.944275989,0.169278602
75.022023,2.151067,11.992433,12.710276,8.950264607,0.944538301,0.169238418
75.024288,2.178206,11.992433,12.874732,9.018993364,0.944810401,0.16918457
75.01868,2.1921106,11.992217,12.957392,9.061387008,0.944898579,0.169178381
75.01717,2.2190764,11.991354,13.121632,9.122697172,0.945198767,0.169115884
75.019111,2.232635,11.991786,13.203642,9.155043603,0.945339856,0.169092361
75.015229,2.2597956,11.992433,13.366584,9.221221368,0.945603639,0.169063061
75.008974,2.2869344,11.992217,13.531472,9.268254396,0.945970492,0.169008545
75.012748,2.3006228,11.991462,13.6137,9.32787211,0.945949205,0.168993205
75.009082,2.3278482,11.992109,13.778156,9.380607946,0.946276725,0.168952086
75.008974,2.3416232,11.992001,13.8606,9.426424666,0.946331833,0.168940969
75.009189,2.3686106,11.992109,14.023974,9.490535342,0.946582621,0.168897247
75.008434,2.3821692,11.99157,14.106634,9.52209214,0.946709515,0.168868718
75.004876,2.4094812,11.991462,14.271738,9.583834729,0.946969432,0.168828856
75.006817,2.4229966,11.991354,14.352884,9.630749603,0.947008459,0.168816009
75.005091,2.4505678,11.991246,14.51799,9.716271325,0.947138173,0.168795253
75.008111,2.4641266,11.991462,14.600002,9.754112348,0.947226426,0.168775771
75.000777,2.4912654,11.990923,14.764456,9.80738568,0.947511097,0.168733978
75.001532,2.5051484,11.991354,14.847334,9.850329937,0.947573944,0.168727153
74.999807,2.5324824,11.991678,15.01114,9.926933938,0.947735289,0.168706867
74.999268,2.5461924,11.991139,15.094234,9.965508195,0.947814337,0.168686427
74.994954,2.5736124,11.991246,15.258906,10.03464801,0.948009145,0.16866297
